ID Caso;Código DANE de Municipio;Municipio;Departamento;Año;Mes;Día;ID Persona;Sexo;Etnia;Ocupación;Calidad de la Víctima o la Baja;Tipo de Población Vulnerable;Militante Político;Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente;Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente;Situación Actual de la Víctima;Edad;Latitud;Longitud
359675;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401109;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;VIVA;;4;-72
359676;19110;BUENOS AIRES;CAUCA;0000;00;00;401110;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;3,01542683;-76,64228059
359677;68001;BUCARAMANGA;SANTANDER;0000;00;00;401111;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;ADOLESCENCIA (12-17 AÑOS);7,116267276;-73,13259818
359678;20710;SAN ALBERTO;CESAR;0000;00;00;401112;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;ADOLESCENCIA (12-17 AÑOS);7,76082642;-73,39422534
359679;68081;BARRANCABERMEJA;SANTANDER;0000;00;00;401113;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;7,064963864;-73,84995698
359681;20001;VALLEDUPAR;CESAR;0000;00;00;401115;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;10,46048122;-73,25938931
359682;18410;LA MONTAÑITA;CAQUETA;0000;00;00;401116;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;1,479172635;-75,43640776
359683;66001;PEREIRA;RISARALDA;0000;00;00;401117;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4,805680265;-75,71712306
359684;54874;VILLA DEL ROSARIO;NORTE DE SANTANDER;0000;00;00;401118;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;7,847487432;-72,47006734
359685;05001;MEDELLIN;ANTIOQUIA;0000;00;00;401119;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;6,246715564;-75,58171333
359686;68720;SANTA HELENA DEL OPON;SANTANDER;0000;00;00;401120;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;6,33964535;-73,61679327
359687;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401121;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359688;20550;PELAYA;CESAR;0000;00;00;401122;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;8,688650964;-73,66635487
359689;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401123;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359690;18756;SOLANO;CAQUETA;0000;00;00;401124;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;0,698977525;-75,25370431
359691;52540;POLICARPA;NARIÑO;0000;00;00;401125;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;1,62813872;-77,45926539
359692;76001;CALI;VALLE DEL CAUCA;0000;00;00;401126;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;3,414414305;-76,52156515
359693;00000;SIN INFORMACION;SIN INFORMACION;0000;00;00;401127;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;4;-72
359694;52699;SANTACRUZ;NARIÑO;0000;00;00;763106;MUJER;;SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;JUVENTUD (18-28 AÑOS);1,221985919;-77,67702224
359695;19142;CALOTO;CAUCA;0000;00;00;401129;MUJER;NEGRO(A), MULATO(A), AFRODESCENDIENTE, AFROCOLOMBIANO(A);SIN INFORMACIÓN;CIVIL;;;;;DESCONOCIDA;;3,034070778;-76,40848704
