ID_Caso,DANE,Municipio,Departamento,Anho,Mes,Dia,ID_Persona,Sexo,Ocupacion,Tipo_Victima,Estado,Edad,Latitud,Longitud
364657,70508,OVEJAS,SUCRE,2000,10,15,406091,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),9.5266872387,-75.2290844408
364658,66456,MISTRATO,RISARALDA,2000,10,15,406092,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),5.2970590607,-75.8828604706
364659,18753,SAN VICENTE DEL CAGUAN,CAQUETA,2000,10,15,406093,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),2.1197861313,-74.7673405755
364660,19050,ARGELIA,CAUCA,2000,10,15,406094,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),2.2567549087,-77.2494502806
364661,47551,PIVIJAY,MAGDALENA,2000,10,15,406095,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),10.4606932421,-74.6135179463
364662,19050,ARGELIA,CAUCA,2000,10,15,406096,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),2.2567549087,-77.2494502806
364663,54099,BOCHALEMA,NORTE DE SANTANDER,2000,10,15,406097,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),7.6121680523,-72.6470380877
364664,86885,VILLAGARZON,PUTUMAYO,2000,10,15,406098,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),1.0289410116,-76.6171624674
364665,18256,EL PAUJIL,CAQUETA,2000,10,16,406099,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),1.5703732827,-75.3261234569
364666,05313,GRANADA,ANTIOQUIA,2000,10,16,406100,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),6.1428966666,-75.1844450829
364667,05313,GRANADA,ANTIOQUIA,2000,10,16,406101,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),6.1428966666,-75.1844450829
364668,05001,MEDELLIN,ANTIOQUIA,2000,10,16,406102,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),6.246715564,-75.581713332
364669,47058,ARIGUANI,MAGDALENA,2000,10,16,406103,MUJER,ESTUDIANTE,CIVIL,VIVA,,9.8470570758,-74.2364988872
364670,05088,BELLO,ANTIOQUIA,2000,10,17,406104,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),6.3340688364,-75.554665073
364671,20045,BECERRIL,CESAR,2000,10,17,406105,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),9.7046061158,-73.2792316745
364672,13244,EL CARMEN DE BOLIVAR,BOLIVAR,2000,10,17,406106,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),9.7185798645,-75.1212157328
364673,27073,BAGADO,CHOCO,2000,10,17,406107,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADOLESCENCIA (12-17 AÑOS),5.4105549598,-76.4152929877
364674,18150,CARTAGENA DEL CHAIRA,CAQUETA,2000,10,17,406108,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),1.3351349549,-74.8471983686
364686,54810,TIBU,NORTE DE SANTANDER,2000,10,18,406120,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,JUVENTUD (18-28 AÑOS),8.6395488525,-72.7359186314
364687,76001,CALI,VALLE DEL CAUCA,2000,10,18,406121,MUJER,SIN INFORMACIÓN,CIVIL,DESCONOCIDA,ADULTEZ (29-59 AÑOS),3.4144143046,-76.5215651508
